Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,94.38,96.46,92.91,94.96,750858.0,94.96
2018-03-26,93.75,94.64,92.42,94.44,789027.0,94.44
2018-03-23,96.08,96.29,92.62,92.94,1050961.0,92.94
2018-03-22,96.66,98.21,96.0,96.05,603278.0,96.05
2018-03-21,97.64,98.12,96.495,96.98,843578.0,96.98
2018-03-20,98.35,99.1,96.87,97.58,811289.0,97.58
2018-03-19,98.99,98.99,97.58,98.26,723265.0,98.26
2018-03-16,98.25,99.45,97.72,98.94,2444053.0,98.94
2018-03-15,98.91,98.99,97.72,98.38,761280.0,98.38
2018-03-14,98.93,99.06,98.03,98.71,783857.0,98.71
2018-03-13,100.36,100.36,98.2,98.49,926542.0,98.49
2018-03-12,99.45,100.12,99.01,99.79,1109739.0,99.79
2018-03-09,99.71,99.77,97.8,99.61,794749.0,99.61
2018-03-08,100.5,100.5,99.16,99.47,757298.0,99.47
2018-03-07,99.33,100.56,98.88,100.08,996531.0,100.08
2018-03-06,98.34,99.93,97.81,99.83,698881.0,99.83
2018-03-05,96.73,99.24,96.52,98.41,1354153.0,98.41
2018-03-02,96.29,97.91,95.25,97.85,1015160.0,97.85
2018-03-01,96.39,98.15,95.59,96.67,1233692.0,96.67
2018-02-28,96.44,98.43,95.95,96.92,1064027.0,96.92
2018-02-27,98.22,98.95,95.85,95.89,958006.0,95.89
2018-02-26,97.93,98.11,97.0,98.06,547842.0,98.06
2018-02-23,96.5,97.67,95.41,97.62,408951.0,97.62
2018-02-22,94.66,97.15,94.56,95.91,884410.0,95.91
2018-02-21,96.03,97.35,94.49,94.5,1379720.0,94.5
2018-02-20,95.86,97.51,95.78,96.25,838703.0,96.25
2018-02-16,95.47,96.63,95.38,96.2,624032.0,96.2
2018-02-15,94.13,95.97,93.86,95.54,1039595.0,95.54
2018-02-14,93.12,94.43,92.03,93.79,1123149.0,93.79
2018-02-13,92.66,94.27,91.91,93.82,911630.0,93.82
2018-02-12,92.31,93.2,89.62,92.69,995606.0,92.69
2018-02-09,91.15,93.05,89.46,92.18,1691330.0,92.18
